198#594,197,279
492#1420,495,519
493#1415,511,518
484#1363,496,500
483#1340,517,499
503#1407,515,521
482#1344,513,513
510#1426,517,525
495#1383,507,512
512#1437,518,529
499#1416,516,516
485#1370,501,520
483#1355,531,519
485#1372,498,509
490#1376,505,510
483#1371,491,511
474#1350,511,509
506#1414,524,525
496#1395,512,516
491#1373,551,514
464#1317,481,501
453#1299,531,505
510#1435,528,525
477#1361,494,500
477#1345,508,505
457#1298,498,502
495#1396,551,508
508#1424,522,531
530#1492,550,546
468#1329,484,507
433#1232,468,477
481#1377,528,523
487#1382,529,502
492#1386,509,508
485#1392,508,510
471#1320,512,487
441#1286,444,518
468#1343,479,498
510#1446,525,524
471#1335,487,495
478#1355,502,498
512#1456,542,530
472#1339,508,500
409#1160,530,437
460#1316,473,507
487#1371,508,508
513#1441,518,535
407#1154,520,430
482#1365,505,511
505#1430,513,528
470#1344,517,516
474#1342,514,501
463#1331,528,515
482#1380,516,516
507#1447,515,523
448#1277,491,489
483#1387,517,513
478#1352,488,498
491#1390,506,517
491#1377,515,503
438#1281,548,496
502#1430,531,516
504#1421,522,514
475#1341,543,508
427#1237,429,506
479#1362,502,491
477#1359,490,519
490#1387,532,510
502#1410,509,527
524#1474,541,544
459#1313,518,515
468#1329,500,511
505#1420,523,524
464#1317,519,505
491#1391,525,509
456#1291,501,495
493#1382,523,512
487#1387,512,520
441#1248,453,478
451#1312,456,510
493#1395,517,512
463#1324,497,511
483#1384,510,513
442#1260,500,489
479#1380,541,514
472#1354,510,495
490#1385,517,514
414#1180,454,439
478#1341,506,493
509#1433,548,524
468#1335,505,516
489#1377,536,513
513#1434,544,536
493#1387,523,513
448#1260,521,470
480#1373,528,513
497#1397,523,524
469#1317,503,488
389#1119,398,440
529#1554,535,528
