349#1027,456,514
268#787,492,497
306#908,464,479
305#902,468,500
256#759,435,513
168#503,564,322
291#865,413,463
303#906,417,504
293#869,560,494
270#798,514,468
314#930,566,505
290#850,571,488
281#830,581,507
249#730,634,512
282#836,390,512
320#948,486,514
337#999,508,512
287#843,490,497
301#893,519,526
305#894,493,505
307#910,534,497
233#689,535,393
295#873,377,508
306#907,530,510
294#872,594,497
306#905,528,493
201#603,642,383
111#331,540,204
299#879,571,483
269#804,436,484
335#992,472,540
274#813,489,489
300#882,492,505
291#865,429,512
221#661,472,439
279#834,572,508
242#719,350,427
333#977,491,521
315#940,581,502
298#890,371,506
156#468,155,408
305#907,381,501
264#786,611,431
308#913,512,510
295#875,477,468
298#885,505,486
299#887,430,511
286#849,380,509
170#506,492,284
162#484,162,394
270#802,569,478
291#861,550,502
299#880,537,500
315#937,526,507
304#908,481,496
263#788,263,491
320#948,543,505
294#875,457,485
293#873,522,504
298#888,476,506
306#908,485,501
51#152,494,82
371#1104,508,525
402#1196,530,504
397#1182,490,505
391#1169,554,497
373#1111,538,513
339#1009,420,499
399#1185,510,517
396#1171,503,503
400#1193,514,505
410#1217,496,513
297#885,591,449
359#1069,513,512
281#837,390,398
353#1054,517,499
345#1029,427,470
325#974,494,422
411#1226,504,504
415#1237,479,496
398#1185,504,504
354#1058,445,485
364#1086,367,414
462#1379,515,506
395#1178,505,498
363#1081,489,497
353#1052,496,455
295#883,473,437
346#1037,426,490
400#1191,502,501
305#910,545,375
411#1219,503,499
295#874,539,513
295#880,368,495
306#909,550,496
306#898,499,510
292#865,358,499
201#599,235,410
312#919,521,526
350#1049,353,349
